regime,rsi_threshold,dip_multiplier,max_dip_buys_per_week,base_size_pct,smart_final_eq,smart_return_pct,smart_apr_pct,smart_dd_pct,smart_sharpe,smart_trades,smart_2x_buys,smart_weeks_sat,smart_cost_basis,smart_btc,smart_cash_left,dca_final_eq,dca_cost_basis,dca_btc,bh_final_eq,smart_vs_dca_pp,smart_vs_bh_pp,cb_improvement_pct,runtime_s
bull,35,1.5,2,0.005,26337.373879681152,163.37373879681155,508.89609893478405,23.141341747362045,3.2706885968927866,196,3,1,23704.542228294667,0.41633687353894083,125.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-51.235895344185664,-54.8440483106947,-103.47120856844371,0.006
bull,35,1.5,2,0.01,38926.74918060718,289.26749180607175,1161.9993487496665,28.76871375662689,3.6110732584114107,100,0,0,16164.143065238759,0.618282080260243,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-27.92644856599712,-33.25931380055715,-38.74715205559018,0.006
bull,35,1.5,2,0.015,45159.05165712302,351.5905165712302,1564.8394240704831,28.768713756626894,3.8483308415567796,67,0,0,13933.36484560017,0.7172711050594409,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-16.387232408763886,-22.57390716782518,-19.59895944226761,0.006
bull,35,1.5,3,0.005,26337.373879681152,163.37373879681155,508.89609893478405,23.141341747362045,3.2706885968927866,196,3,0,23704.542228294667,0.41633687353894083,125.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-51.235895344185664,-54.8440483106947,-103.47120856844371,0.006
bull,35,1.5,3,0.01,38926.74918060718,289.26749180607175,1161.9993487496665,28.76871375662689,3.6110732584114107,100,0,0,16164.143065238759,0.618282080260243,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-27.92644856599712,-33.25931380055715,-38.74715205559018,0.006
bull,35,1.5,3,0.015,45159.05165712302,351.5905165712302,1564.8394240704831,28.768713756626894,3.8483308415567796,67,0,0,13933.36484560017,0.7172711050594409,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-16.387232408763886,-22.57390716782518,-19.59895944226761,0.006
bull,35,1.5,5,0.005,26337.373879681152,163.37373879681155,508.89609893478405,23.141341747362045,3.2706885968927866,196,3,0,23704.542228294667,0.41633687353894083,125.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-51.235895344185664,-54.8440483106947,-103.47120856844371,0.006
bull,35,1.5,5,0.01,38926.74918060718,289.26749180607175,1161.9993487496665,28.76871375662689,3.6110732584114107,100,0,0,16164.143065238759,0.618282080260243,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-27.92644856599712,-33.25931380055715,-38.74715205559018,0.006
bull,35,1.5,5,0.015,45159.05165712302,351.5905165712302,1564.8394240704831,28.768713756626894,3.8483308415567796,67,0,0,13933.36484560017,0.7172711050594409,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-16.387232408763886,-22.57390716782518,-19.59895944226761,0.006
bull,35,2.0,2,0.005,26408.65676590342,164.0865676590342,511.9738980920726,23.228275927660928,3.2712733655689967,196,3,1,23752.024265354932,0.4186603166494956,50.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-51.10391384368409,-54.721832383577905,-103.87877718431902,0.006
bull,35,2.0,2,0.01,38926.74918060718,289.26749180607175,1161.9993487496665,28.76871375662689,3.6110732584114107,100,0,0,16164.143065238759,0.618282080260243,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-27.92644856599712,-33.25931380055715,-38.74715205559018,0.006
bull,35,2.0,2,0.015,45159.05165712302,351.5905165712302,1564.8394240704831,28.768713756626894,3.8483308415567796,67,0,0,13933.36484560017,0.7172711050594409,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-16.387232408763886,-22.57390716782518,-19.59895944226761,0.006
bull,35,2.0,3,0.005,26408.65676590342,164.0865676590342,511.9738980920726,23.228275927660928,3.2712733655689967,196,3,0,23752.024265354932,0.4186603166494956,50.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-51.10391384368409,-54.721832383577905,-103.87877718431902,0.006
bull,35,2.0,3,0.01,38926.74918060718,289.26749180607175,1161.9993487496665,28.76871375662689,3.6110732584114107,100,0,0,16164.143065238759,0.618282080260243,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-27.92644856599712,-33.25931380055715,-38.74715205559018,0.006
bull,35,2.0,3,0.015,45159.05165712302,351.5905165712302,1564.8394240704831,28.768713756626894,3.8483308415567796,67,0,0,13933.36484560017,0.7172711050594409,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-16.387232408763886,-22.57390716782518,-19.59895944226761,0.006
