regime,spot_reference,return_pct,max_dd_pct,trades,opens,halts,pct_in_pos,halt_reason
covid_2020,deribit_index,-0.033821583940207844,0.033821583940207345,16,8,0,2.4356297842727903,
covid_2020,binance_spot,-0.0012602644062442714,0.004542764406251081,1,1,0,0.9742519137091163,
luna_2021,deribit_index,0.0,0.0,0,0,0,0.0,
luna_2021,binance_spot,0.0,0.0,0,0,0,0.0,
ftx_2022,deribit_index,0.0,0.0,0,0,0,0.0,
ftx_2022,binance_spot,0.0,0.0,0,0,0,0.0,
etf_2024,deribit_index,0.0,0.0,0,0,0,0.0,
etf_2024,binance_spot,0.0,0.0,0,0,0,0.0,
calm_2023,deribit_index,-0.4111464852165181,0.4119389852165295,33,17,0,5.578512396694215,
calm_2023,binance_spot,-0.06986304483077577,0.06986304483078129,6,3,0,4.2699724517906334,
holdout,deribit_index,-1.7696365607646647,1.7696365607646658,86,43,1,2.547770700636943,dislocation_guard
holdout,binance_spot,-0.09002894461980215,0.09002894461980758,4,2,1,0.6435774946921444,dislocation_guard
